Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-04-22,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,3628,0.0,0.0
2025-04-23,2.4000000953674316,2.4000000953674316,2.2899999618530273,2.369999885559082,2.369999885559082,5152,0.0,0.0
2025-04-24,2.299999952316284,2.450000047683716,2.2899999618530273,2.450000047683716,2.450000047683716,6879,0.0,0.0
2025-04-25,2.430000066757202,2.5,2.4200000762939453,2.5,2.5,6732,0.0,0.0
2025-04-28,2.3299999237060547,2.4600000381469727,2.299999952316284,2.319999933242798,2.319999933242798,108829,0.0,0.0
2025-04-29,2.380000114440918,2.5,2.309999942779541,2.4600000381469727,2.4600000381469727,18107,0.0,0.0
2025-04-30,2.4200000762939453,2.4200000762939453,2.309999942779541,2.4000000953674316,2.4000000953674316,28224,0.0,0.0
2025-05-02,2.2899999618530273,2.390000104904175,2.2799999713897705,2.390000104904175,2.390000104904175,7654,0.0,0.0
2025-05-05,2.390000104904175,2.4000000953674316,2.390000104904175,2.390000104904175,2.390000104904175,93000,0.0,0.0
2025-05-06,2.3399999141693115,2.4000000953674316,2.3399999141693115,2.4000000953674316,2.4000000953674316,3880,0.0,0.0
2025-05-07,2.3399999141693115,2.4200000762939453,2.3399999141693115,2.369999885559082,2.369999885559082,8651,0.0,0.0
2025-05-08,2.369999885559082,2.4000000953674316,2.359999895095825,2.4000000953674316,2.4000000953674316,761,0.0,0.0
2025-05-09,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,231,0.0,0.0
2025-05-12,2.4000000953674316,2.430000066757202,2.4000000953674316,2.430000066757202,2.430000066757202,3404,0.0,0.0
2025-05-13,2.450000047683716,2.450000047683716,2.4000000953674316,2.450000047683716,2.450000047683716,134336,0.0,0.0
2025-05-14,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,5,0.0,0.0
2025-05-15,2.369999885559082,2.430000066757202,2.369999885559082,2.390000104904175,2.390000104904175,1621,0.0,0.0
2025-05-16,2.369999885559082,2.369999885559082,2.299999952316284,2.299999952316284,2.299999952316284,9936,0.0,0.0
2025-05-19,2.2799999713897705,2.299999952316284,2.2799999713897705,2.299999952316284,2.299999952316284,763,0.0,0.0
