Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-04-21,549.25,552.75,537.25,538.5,538.5,24733,0.0,0.0
2025-04-22,540.0,540.75,531.5,535.5,535.5,31592,0.0,0.0
2025-04-23,535.75,537.5,527.75,528.25,528.25,29029,0.0,0.0
2025-04-24,528.75,530.5,524.25,529.25,529.25,25897,0.0,0.0
2025-04-25,529.5,534.75,527.5,530.0,530.0,30800,0.0,0.0
2025-04-28,529.0,529.0,511.5,515.5,515.5,32411,0.0,0.0
2025-04-29,518.0,521.0,505.0,505.75,505.75,20109,0.0,0.0
2025-04-30,507.25,520.0,505.0,513.0,513.0,1204,0.0,0.0
2025-05-01,518.75,523.5,515.0,515.25,515.25,706,0.0,0.0
2025-05-02,520.75,530.75,520.75,526.5,526.5,103,0.0,0.0
2025-05-05,525.25,525.25,514.25,514.25,514.25,4,0.0,0.0
2025-05-06,520.5,520.5,519.0,519.0,519.0,19,0.0,0.0
2025-05-07,517.0,518.5,517.0,518.0,518.0,82,0.0,0.0
2025-05-08,511.25,513.0,511.0,513.0,513.0,10,0.0,0.0
2025-05-09,505.5,505.5,505.5,505.5,505.5,6,0.0,0.0
2025-05-12,499.0,499.0,499.0,499.0,499.0,16,0.0,0.0
2025-05-13,501.5,501.5,501.5,501.5,501.5,19,0.0,0.0
2025-05-14,508.75,508.75,508.75,508.75,508.75,62950,0.0,0.0
2025-05-15,524.5,533.25,521.75,532.75,532.75,69748,0.0,0.0
2025-05-16,533.5,533.5,523.5,525.0,525.0,49356,0.0,0.0
2025-05-19,527.0,536.0,524.5,529.0,529.0,64286,0.0,0.0
2025-05-20,530.0,547.5,528.75,546.0,546.0,86585,0.0,0.0
2025-05-21,546.0,556.25,545.0,549.25,549.25,85813,0.0,0.0
2025-05-22,548.25,552.0,541.25,544.5,544.5,85214,0.0,0.0
2025-05-23,545.0,548.5,538.5,542.5,542.5,61665,0.0,0.0
2025-05-27,543.5,544.0,527.5,528.5,528.5,66898,0.0,0.0
2025-05-28,531.0,535.75,526.75,530.25,530.25,60152,0.0,0.0
2025-05-29,533.0,534.75,527.25,534.0,534.0,48247,0.0,0.0
2025-05-30,534.25,538.5,531.25,534.0,534.0,49023,0.0,0.0
2025-06-02,534.0,549.5,533.25,539.0,539.0,82568,0.0,0.0
2025-06-03,538.0,545.5,531.75,536.0,536.0,80640,0.0,0.0
2025-06-04,535.5,547.5,533.5,543.25,543.25,73113,0.0,0.0
2025-06-05,543.5,549.25,540.5,545.5,545.5,0,0.0,0.0
2025-06-06,545.25,555.75,540.25,554.75,554.75,97197,0.0,0.0
2025-06-09,556.0,557.75,540.0,542.0,542.0,102603,0.0,0.0
2025-06-10,540.0,542.0,530.75,534.5,534.5,90158,0.0,0.0
2025-06-11,535.0,539.25,532.0,534.25,534.25,72453,0.0,0.0
2025-06-12,534.25,537.0,526.0,526.5,526.5,93654,0.0,0.0
2025-06-13,526.75,544.75,522.25,543.75,543.75,102188,0.0,0.0
2025-06-16,545.0,546.75,531.75,536.5,536.5,77417,0.0,0.0
2025-06-17,536.25,552.25,536.25,549.0,549.0,71241,0.0,0.0
2025-06-18,549.0,575.0,547.0,574.25,574.25,0,0.0,0.0
2025-06-20,573.0,578.25,565.5,567.75,567.75,49117,0.0,0.0
2025-06-23,567.0,570.0,549.5,552.75,552.75,44221,0.0,0.0
2025-06-24,552.0,553.0,535.0,535.75,535.75,36906,0.0,0.0
2025-06-25,535.0,537.0,526.5,528.25,528.25,18240,0.0,0.0
2025-06-26,528.25,531.5,520.5,521.0,521.0,24542,0.0,0.0
2025-06-27,521.0,529.5,520.5,524.75,524.75,12677,0.0,0.0
2025-06-30,530.0,531.75,523.5,528.75,528.75,1972,0.0,0.0
2025-07-01,527.0,540.75,526.5,537.25,537.25,453,0.0,0.0
2025-07-02,546.0,556.0,544.75,556.0,556.0,62,0.0,0.0
