Date,Open,High,Low,Close
2024-05-22,1029.25,1038.4,994.75,997.4
2024-05-23,996.25,1000.82,967.25,972.875
2024-05-24,974.0,979.725,962.75,967.5
2024-05-27,969.825,1006.25,969.075,993.75
2024-05-28,995.346,999.25,969.5,986.3
2024-05-29,986.15,989.25,949.375,959.0
2024-05-30,958.25,964.375,935.5,951.125
2024-05-31,950.0,958.036,905.932,918.204
2024-06-03,914.5,942.231,898.5,926.95
2024-06-04,928.75,937.925,906.692,917.0
2024-06-05,916.925,940.5,913.675,936.525
2024-06-06,935.75,948.0,928.25,934.0
2024-06-07,934.25,938.5,903.712,914.75
2024-06-10,917.359,929.549,888.425,911.0
2024-06-11,908.8,910.863,884.5,890.875
2024-06-12,892.75,932.75,884.5,906.975
2024-06-13,906.375,913.462,879.0,889.55
2024-06-14,891.675,904.125,884.0,894.562
2024-06-17,893.25,901.5,877.307,896.5
2024-06-18,895.75,898.275,871.5,892.5
2024-06-19,893.25,915.75,888.725,907.25
2024-06-20,906.25,939.0,902.25,928.525
2024-06-21,928.688,1030.35,926.65,949.525
2024-06-24,956.0,1018.25,949.825,981.075
2024-06-25,980.025,999.475,933.475,951.775
2024-06-26,946.575,963.75,921.0,933.75
2024-06-27,932.5,943.2,919.25,937.4
2024-06-28,936.0,987.25,935.75,978.5
2024-07-01,977.95,1000.5,969.0,982.75
2024-07-02,980.75,1026.02,977.5,1012.5
2024-07-03,1017.25,1057.75,1012.25,1028.52
2024-07-04,1026.5,1034.0,1013.55,1020.77
2024-07-05,1022.97,1044.75,1015.5,1029.25
2024-07-08,1029.66,1029.67,998.25,1013.77
2024-07-09,1015.75,1025.05,978.5,984.525
2024-07-10,984.5,1000.12,975.75,993.5
2024-07-11,994.0,1015.03,982.227,996.775
2024-07-12,995.5,995.5,963.962,976.25
2024-07-15,972.275,972.75,948.5,953.125
2024-07-16,951.975,966.625,934.425,963.825
2024-07-17,962.75,983.775,953.0,955.025
2024-07-18,957.25,969.375,925.5,932.525
2024-07-19,932.25,934.775,907.967,912.204
2024-07-22,915.25,927.125,893.489,908.65
2024-07-23,908.322,932.025,893.25,929.875
2024-07-24,923.416,949.75,920.584,935.025
2024-07-25,927.0,934.0,899.273,909.5
2024-07-26,910.25,919.975,893.011,903.25
2024-07-29,908.225,924.5,898.75,907.425
2024-07-30,908.0,909.525,884.0,892.775
2024-07-31,897.084,939.75,893.0,929.175
2024-08-01,930.75,938.73,896.25,907.525
2024-08-02,908.0,918.625,887.5,895.01
2024-08-05,893.25,898.725,833.75,854.175
2024-08-06,853.5,885.5,845.25,874.25
2024-08-07,873.5,911.5,866.068,886.3
2024-08-08,883.177,931.025,882.775,931.025
2024-08-09,926.749,936.75,905.247,908.009
2024-08-12,909.0,942.0,903.5,921.175
2024-08-13,919.075,947.75,915.75,941.875
2024-08-14,944.25,954.0,924.75,940.0
2024-08-15,931.75,954.489,926.75,948.025
2024-08-16,945.177,956.25,934.0,951.989
2024-08-19,952.0,954.0,917.0,934.7
2024-08-20,934.675,950.0,922.0,930.675
2024-08-21,930.416,972.5,924.75,954.8
2024-08-22,950.575,960.475,925.25,929.2
2024-08-23,929.25,962.739,929.0,962.489
2024-08-26,963.177,977.0,954.025,961.525
2024-08-27,963.0,986.75,957.575,975.15
2024-08-28,975.85,980.5,940.0,947.475
2024-08-29,944.823,988.5,944.525,980.625
2024-08-30,979.75,997.75,962.75,967.8
2024-09-02,968.75,982.0,963.25,980.5
2024-09-03,980.45,983.2,932.25,948.225
2024-09-04,948.084,952.0,930.25,937.45
2024-09-05,938.325,959.5,933.0,942.075
2024-09-06,943.677,965.25,904.75,913.728
2024-09-09,916.5,955.728,911.5,950.65
2024-09-10,950.475,977.0,948.95,975.925
2024-09-11,973.5,1021.47,970.5,1018.5
2024-09-12,1017.47,1055.5,1006.12,1051.1
2024-09-13,1051.5,1079.0,1039.0,1072.25
2024-09-16,1070.12,1084.33,1063.25,1079.25
2024-09-17,1082.12,1124.5,1078.45,1119.97
2024-09-18,1120.1,1124.0,1054.2,1057.5
2024-09-19,1056.93,1103.01,1042.0,1083.2
2024-09-20,1085.25,1093.75,1062.0,1069.0
2024-09-23,1067.25,1068.75,1038.0,1042.07
2024-09-24,1041.77,1071.5,1035.8,1064.07
2024-09-25,1065.22,1066.25,1032.75,1045.95
2024-09-26,1046.04,1076.0,1041.77,1051.1
2024-09-27,1051.08,1053.05,1011.25,1015.0
2024-09-30,1023.25,1027.5,983.25,1002.5
2024-10-01,1002.75,1016.25,989.5,1009.3
2024-10-02,1004.27,1026.5,999.25,1021.1
2024-10-03,1022.25,1024.97,985.228,1008.2
2024-10-04,1006.8,1020.0,998.75,1015.25
2024-10-07,1014.8,1032.03,1006.5,1026.6
