Date,Open,High,Low,Close,Volume
2010-12-23,23.874,49.727,23.874,49.727,1713
2010-12-27,54.76,60.231,54.76,60.231,169
2010-12-28,65.653,71.621,54.711,54.711,7172
2010-12-29,49.737,49.737,39.79,39.79,4376
2010-12-30,34.816,34.816,31.334,32.826,6589
2010-12-31,30.34,30.34,29.84,30.24,3575
2011-01-03,29.345,29.345,25.465,25.754,10983
2011-01-04,24.471,26.918,24.471,25.067,15700
2011-01-05,25.067,25.067,22.561,23.854,12425
2011-01-07,23.864,24.371,23.854,24.371,6531
2011-01-10,24.301,24.301,21.884,22.322,7462
2011-01-11,22.68,23.018,20.502,21.884,6759
2011-01-12,21.785,21.884,21.088,21.775,1829
2011-01-13,21.138,21.974,20.89,21.367,519
2011-01-14,21.088,21.088,20.153,20.153,1874
2011-01-17,20.84,20.84,19.298,19.785,2186
2011-01-18,19.756,19.795,19.009,19.099,2043
2011-01-19,19.885,19.895,19.208,19.397,995
2011-01-20,19.497,19.855,19.0,19.348,724
2011-01-21,18.92,19.616,18.91,19.189,2498
2011-01-24,19.189,19.795,18.91,19.586,630
2011-01-25,19.099,19.298,18.482,19.198,792
2011-01-26,18.303,19.567,18.303,18.85,1064
2011-01-27,18.154,19.318,17.756,18.502,1851
2011-01-28,17.418,17.438,16.94,17.338,2192
2011-01-31,16.99,17.87,15.93,17.86,1326
2011-02-01,17.856,19.338,17.03,18.85,2716
2011-02-02,18.403,18.89,18.005,18.83,4737
2011-02-03,17.905,18.492,17.905,18.492,453
2011-02-04,18.602,18.811,18.005,18.602,700
2011-02-07,18.711,19.348,18.502,19.179,1724
2011-02-08,19.0,19.0,18.403,18.9,394
2011-02-09,18.413,18.791,17.866,18.751,2841
2011-02-10,18.403,18.701,18.353,18.701,956
2011-02-11,17.905,18.502,17.706,18.502,67
2011-02-14,18.403,19.696,18.055,19.696,8067
2011-02-15,19.795,24.759,19.795,24.759,20755
2011-02-16,24.67,25.744,22.213,22.76,9705
2011-02-17,22.76,22.76,21.685,22.531,2587
2011-02-18,21.616,21.984,20.999,21.984,1402
2011-02-21,21.984,23.774,21.347,23.078,2974
2011-02-22,23.068,23.068,21.636,22.74,1649
2011-02-23,21.884,21.884,20.71,20.89,3349
2011-02-24,20.939,21.387,20.671,20.691,795
2011-02-25,21.088,21.675,20.89,21.675,313
2011-02-28,21.864,22.859,21.864,22.461,912
2011-03-01,22.083,22.402,21.586,22.402,797
2011-03-02,22.302,22.302,20.919,22.262,1009
2011-03-03,20.989,21.884,20.989,21.884,162
2011-03-04,21.387,21.785,20.999,21.785,864
2011-03-07,21.188,21.188,21.188,21.188,201
2011-03-08,20.223,21.088,20.223,21.088,1019
2011-03-09,21.088,21.437,21.088,21.437,1001
2011-03-10,21.138,21.536,21.138,21.536,147
2011-03-11,21.118,21.118,21.118,21.118,434
2011-03-14,21.118,21.118,21.118,21.118,365
2011-03-15,21.118,21.496,20.89,21.297,1722
2011-03-16,21.377,21.506,21.377,21.506,302
2011-03-17,20.472,20.89,20.472,20.89,563
2011-03-18,20.89,20.89,20.541,20.541,382
2011-03-21,20.89,20.89,20.541,20.541,121
2011-03-22,20.939,20.939,20.591,20.89,352
2011-03-23,20.561,20.929,20.561,20.641,1279
2011-03-24,20.581,20.581,20.442,20.442,1056
2011-03-25,20.442,20.88,19.964,20.88,463
2011-03-28,19.964,20.392,19.964,20.392,80
2011-03-30,19.954,20.004,19.954,20.004,784
2011-03-31,20.0,20.04,19.94,19.94,1900
2011-04-01,19.954,19.954,19.954,19.954,101
2011-04-04,19.954,19.954,19.895,19.895,89
2011-04-05,20.293,21.387,20.293,21.387,176
2011-04-06,21.506,21.506,20.392,20.392,935
2011-04-07,20.591,20.959,20.392,20.701,474
2011-04-08,20.74,20.969,20.392,20.969,265
2011-04-11,20.442,20.442,20.293,20.313,153
2011-04-12,20.492,21.069,20.313,21.069,302
2011-04-13,21.238,21.238,21.238,21.238,101
2011-04-14,20.313,20.313,19.895,19.895,1015
2011-04-15,20.104,20.193,20.104,20.193,105
2011-04-18,20.104,20.104,19.895,19.895,2614
2011-04-19,19.895,19.895,19.656,19.656,391
2011-04-20,19.656,19.656,19.656,19.656,54
2011-04-21,19.109,19.109,19.109,19.109,362
2011-04-26,19.109,19.109,19.109,19.109,50
2011-04-27,19.109,19.248,18.85,18.86,709
2011-04-28,18.512,18.751,18.393,18.403,4764
2011-04-29,18.5,18.6,18.5,18.5,565
2011-05-02,18.552,19.0,18.552,18.9,315
2011-05-05,18.403,18.403,18.403,18.403,250
2011-05-06,18.403,18.651,18.403,18.651,266
2011-05-09,18.403,18.403,18.303,18.303,232
2011-05-12,17.02,18.602,17.02,18.602,131
2011-05-13,18.005,18.005,18.005,18.005,1
2011-05-17,17.408,17.408,16.911,16.911,1223
2011-05-18,16.911,16.911,16.911,16.911,251
2011-05-19,16.901,20.89,15.349,20.89,16203
2011-05-20,21.258,21.287,19.139,21.248,2613
2011-05-23,20.89,20.89,19.198,19.397,1555
2011-05-24,17.905,20.392,17.905,20.392,1481
2011-05-25,19.895,20.442,19.795,19.905,799
2011-05-26,20.143,20.143,20.143,20.143,20
2011-05-27,19.895,20.432,19.895,20.392,247
2011-05-30,19.706,19.706,19.696,19.696,980
2011-05-31,19.308,20.094,19.308,20.094,180
2011-06-01,19.308,19.308,19.298,19.308,310
2011-06-07,19.845,19.845,19.845,19.845,11
2011-06-09,18.064,19.845,18.055,19.845,252
2011-06-10,18.9,19.945,18.9,19.895,1328
2011-06-13,19.895,20.492,19.895,20.392,993
2011-06-14,19.895,20.313,19.099,20.313,515
2011-06-15,19.397,20.143,19.397,19.895,916
2011-06-16,18.9,20.392,18.9,20.392,584
2011-06-17,18.91,20.332,18.91,20.332,63
2011-06-20,18.92,20.392,18.92,20.392,2575
2011-06-21,20.392,20.392,20.392,20.392,342
2011-06-22,20.392,20.392,19.447,19.447,7897
2011-06-24,19.427,19.427,19.427,19.427,25
2011-06-27,19.427,19.427,19.427,19.427,327
2011-06-28,18.9,18.9,18.9,18.9,101
2011-06-30,19.89,20.39,19.89,20.39,183
2011-07-06,18.9,19.895,18.353,19.895,4433
2011-07-08,19.895,19.895,19.895,19.895,201
2011-07-11,19.895,19.994,19.895,19.994,201
2011-07-12,19.994,19.994,19.994,19.994,2
2011-07-18,18.94,18.94,18.93,18.93,312
2011-07-27,17.129,20.87,17.129,20.87,3925
2011-07-28,20.74,20.87,20.392,20.392,626
2011-07-29,19.925,20.87,19.925,20.87,211
2011-08-03,18.82,18.82,17.209,18.82,229
2011-08-05,16.93,18.602,15.269,18.602,796
2011-08-08,16.811,17.408,16.811,16.911,690
2011-08-09,15.916,15.916,15.468,15.468,110
2011-08-10,16.911,16.911,16.911,16.911,322
2011-08-12,15.916,16.015,15.916,16.015,210
2011-08-16,16.811,16.811,16.811,16.811,18
2011-08-17,16.921,16.921,16.921,16.921,48
2011-08-18,15.936,18.602,15.936,18.602,93
2011-08-19,16.741,17.905,16.741,17.905,111
2011-08-24,16.911,16.911,16.911,16.911,26
2011-08-25,16.911,16.911,16.513,16.513,362
2011-08-29,15.916,15.916,15.916,15.916,201
