Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-04-22,3.70729398727417,3.7422900199890137,3.695054054260254,3.70729398727417,3.70729398727417,0,0.0,0.0
2025-04-23,3.771859884262085,3.780993938446045,3.749130964279175,3.771859884262085,3.771859884262085,0,0.0,0.0
2025-04-24,3.7825000286102295,3.7843289375305176,3.7446579933166504,3.7825000286102295,3.7825000286102295,0,0.0,0.0
2025-04-25,3.7536709308624268,3.7778499126434326,3.751800060272217,3.7536709308624268,3.7536709308624268,0,0.0,0.0
2025-04-28,3.7612740993499756,3.773099899291992,3.7411999702453613,3.7612740993499756,3.7612740993499756,0,0.0,0.0
2025-04-29,3.7399230003356934,3.755513906478882,3.7315120697021484,3.7399230003356934,3.7399230003356934,0,0.0,0.0
2025-04-30,3.745800018310547,3.777630090713501,3.7430999279022217,3.745800018310547,3.745800018310547,0,0.0,0.0
2025-05-01,3.7709410190582275,3.801790952682495,3.769706964492798,3.7709410190582275,3.7709410190582275,0,0.0,0.0
2025-05-02,3.7849879264831543,3.7994000911712646,3.753000020980835,3.7849879264831543,3.7849879264831543,0,0.0,0.0
2025-05-05,3.7739028930664062,3.780329942703247,3.7490999698638916,3.7739028930664062,3.7739028930664062,0,0.0,0.0
2025-05-06,3.7678160667419434,3.7870819568634033,3.7593770027160645,3.7678160667419434,3.7678160667419434,0,0.0,0.0
2025-05-07,3.7642929553985596,3.7739930152893066,3.750368118286133,3.7642929553985596,3.7642929553985596,0,0.0,0.0
2025-05-08,3.76705002784729,3.7885489463806152,3.7592248916625977,3.76705002784729,3.76705002784729,0,0.0,0.0
2025-05-09,3.7858059406280518,3.792496919631958,3.7496728897094727,3.7858059406280518,3.7858059406280518,0,0.0,0.0
2025-05-12,3.7671430110931396,3.82817006111145,3.7604100704193115,3.7671430110931396,3.7671430110931396,0,0.0,0.0
2025-05-13,3.819812059402466,3.8311259746551514,3.785749912261963,3.819812059402466,3.819812059402466,0,0.0,0.0
2025-05-14,3.7857260704040527,3.7937560081481934,3.766817092895508,3.7857260704040527,3.7857260704040527,0,0.0,0.0
2025-05-15,3.7817859649658203,3.8032310009002686,3.7664968967437744,3.7817859649658203,3.7817859649658203,0,0.0,0.0
2025-05-16,3.7908170223236084,3.832036018371582,3.778963088989258,3.7908170223236084,3.7908170223236084,0,0.0,0.0
2025-05-19,3.8161959648132324,3.8358700275421143,3.76990008354187,3.8161959648132324,3.8161959648132324,0,0.0,0.0
2025-05-20,3.7778260707855225,3.7881410121917725,3.7618350982666016,3.7778260707855225,3.7778260707855225,0,0.0,0.0
2025-05-21,3.7542879581451416,3.75714111328125,3.7320609092712402,3.7542879581451416,3.7542879581451416,0,0.0,0.0
2025-05-22,3.740523099899292,3.771630048751831,3.735724925994873,3.740523099899292,3.740523099899292,0,0.0,0.0
2025-05-23,3.7655069828033447,3.77020001411438,3.7347500324249268,3.7655069828033447,3.7655069828033447,0,0.0,0.0
2025-05-26,3.7347700595855713,3.738312005996704,3.7209999561309814,3.7347700595855713,3.7347700595855713,0,0.0,0.0
2025-05-27,3.721843957901001,3.7500979900360107,3.7160449028015137,3.721843957901001,3.721843957901001,0,0.0,0.0
2025-05-28,3.743690013885498,3.7626430988311768,3.7374110221862793,3.743690013885498,3.743690013885498,0,0.0,0.0
2025-05-29,3.770970106124878,3.772890090942383,3.7235450744628906,3.770970106124878,3.770970106124878,0,0.0,0.0
2025-05-30,3.72503399848938,3.756200075149536,3.7216999530792236,3.72503399848938,3.72503399848938,0,0.0,0.0
2025-06-02,3.756753921508789,3.758496046066284,3.7097079753875732,3.756753921508789,3.756753921508789,0,0.0,0.0
